2026-05-28 17:47:50 | INFO | load:load_dim_geographie:116 | ✅ 12 départements chargés
2026-05-28 17:47:50 | INFO | load:load_dim_conducteur:121 | Chargement dim_conducteur...
2026-05-28 17:47:51 | INFO | load:load_dim_conducteur:144 | ✅ 60 conducteurs chargés
2026-05-28 17:47:51 | INFO | load:load_dim_chantier:149 | Chargement dim_chantier...
2026-05-28 17:47:51 | INFO | load:load_dim_chantier:175 | ✅ Données chantier chargées
2026-05-28 17:47:51 | INFO | load:load_dim_sinistre_type:180 | Chargement dim_sinistre_type...
2026-05-28 17:47:51 | ERROR | connection:get_db_connection:30 | Erreur base de données: ERREUR:  il n'existe aucune contrainte unique ou contrainte d'exclusion correspondant à la spécification ON CONFLICT

2026-05-28 23:55:04 | INFO | run_etl:main:20 | ============================================================
2026-05-28 23:55:04 | INFO | run_etl:main:21 | DÉMARRAGE DU PIPELINE ETL - SINISTRES BTP
2026-05-28 23:55:04 | INFO | run_etl:main:22 | ============================================================
2026-05-28 23:55:04 | INFO | config:test_connection:52 | ✅ Connexion PostgreSQL établie avec succès
2026-05-28 23:55:04 | INFO | run_etl:main:30 | 🔍 Phase 1: Extraction
2026-05-28 23:55:04 | INFO | extract:extract_auto_sinistres:20 | ✅ 410 sinistres auto extraits
2026-05-28 23:55:04 | INFO | extract:extract_trc_sinistres:31 | ✅ 166 sinistres chantier extraits
2026-05-28 23:55:04 | INFO | run_etl:main:35 | 🔄 Phase 2: Transformation
2026-05-28 23:55:04 | INFO | transform:clean_auto_data:18 | Nettoyage des données auto...
2026-05-28 23:55:04 | INFO | transform:clean_auto_data:62 | Nettoyage terminé: 410 lignes
2026-05-28 23:55:04 | INFO | transform:clean_chantier_data:67 | Nettoyage des données chantier...
2026-05-28 23:55:04 | INFO | transform:clean_chantier_data:91 | Nettoyage terminé: 166 lignes
2026-05-28 23:55:05 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\auto_cleaned.parquet
2026-05-28 23:55:05 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\chantier_cleaned.parquet
2026-05-28 23:55:05 | INFO | run_etl:main:46 | 💾 Phase 3: Chargement DWH
2026-05-28 23:55:05 | INFO | load:run_full_load:267 | === DÉBUT CHARGEMENT DWH ===
2026-05-28 23:55:05 | INFO | load:load_dim_temps:25 | Chargement dim_temps...
2026-05-28 23:55:05 | INFO | load:load_dim_temps:49 | ✅ 436 dates chargées
2026-05-28 23:55:05 | INFO | load:load_dim_vehicule:53 | Chargement dim_vehicule...
2026-05-28 23:55:06 | INFO | load:load_dim_vehicule:78 | ✅ 325 véhicules chargés
2026-05-28 23:55:06 | INFO | load:load_dim_assureur:82 | Chargement dim_assureur...
2026-05-28 23:55:06 | ERROR | connection:get_db_connection:30 | Erreur base de données: 'type_contrat'
2026-05-29 00:01:26 | INFO | run_etl:main:20 | ============================================================
2026-05-29 00:01:26 | INFO | run_etl:main:21 | DÉMARRAGE DU PIPELINE ETL - SINISTRES BTP
2026-05-29 00:01:26 | INFO | run_etl:main:22 | ============================================================
2026-05-29 00:01:26 | INFO | config:test_connection:52 | ✅ Connexion PostgreSQL établie avec succès
2026-05-29 00:01:26 | INFO | run_etl:main:30 | 🔍 Phase 1: Extraction
2026-05-29 00:01:26 | INFO | extract:extract_auto_sinistres:20 | ✅ 410 sinistres auto extraits
2026-05-29 00:01:26 | INFO | extract:extract_trc_sinistres:31 | ✅ 166 sinistres chantier extraits
2026-05-29 00:01:26 | INFO | run_etl:main:35 | 🔄 Phase 2: Transformation
2026-05-29 00:01:26 | INFO | transform:clean_auto_data:18 | Nettoyage des données auto...
2026-05-29 00:01:26 | INFO | transform:clean_auto_data:62 | Nettoyage terminé: 410 lignes
2026-05-29 00:01:26 | INFO | transform:clean_chantier_data:67 | Nettoyage des données chantier...
2026-05-29 00:01:26 | INFO | transform:clean_chantier_data:91 | Nettoyage terminé: 166 lignes
2026-05-29 00:01:26 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\auto_cleaned.parquet
2026-05-29 00:01:26 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\chantier_cleaned.parquet
2026-05-29 00:01:26 | INFO | run_etl:main:46 | 💾 Phase 3: Chargement DWH
2026-05-29 00:01:26 | INFO | load:run_full_load:296 | === DÉBUT CHARGEMENT DWH ===
2026-05-29 00:01:26 | INFO | load:load_dim_temps:25 | Chargement dim_temps...
2026-05-29 00:01:27 | INFO | load:load_dim_temps:49 | ✅ 436 dates chargées
2026-05-29 00:01:27 | INFO | load:load_dim_vehicule:53 | Chargement dim_vehicule...
2026-05-29 00:01:27 | INFO | load:load_dim_vehicule:78 | ✅ 325 véhicules chargés
2026-05-29 00:01:27 | INFO | load:load_dim_assureur:83 | Chargement dim_assureur...
2026-05-29 00:01:28 | ERROR | connection:get_db_connection:30 | Erreur base de données: ERREUR:  la colonne « taux_franchise » de la relation « dim_assureur » n'existe pas
LINE 5:                             taux_franchise,
                                    ^

2026-05-29 00:14:39 | INFO | run_etl:main:20 | ============================================================
2026-05-29 00:14:39 | INFO | run_etl:main:21 | DÉMARRAGE DU PIPELINE ETL - SINISTRES BTP
2026-05-29 00:14:39 | INFO | run_etl:main:22 | ============================================================
